order_line_id,order_id,customer_id,order_date,product_id,product_category,quantity,line_revenue,line_cogs
OL0000001,ORD000001,C0001,2024-06-15,P006,Conveyors,3,4434.15,3298.00
OL0000002,ORD000001,C0001,2024-06-15,P008,Lubricants,29,3563.22,2650.23
OL0000003,ORD000002,C0001,2024-11-13,P007,Safety,22,4673.15,2776.62
OL0000004,ORD000002,C0001,2024-11-13,P004,Motors,23,3528.76,2096.66
OL0000005,ORD000003,C0001,2024-10-17,P004,Motors,44,3642.38,2281.64
OL0000006,ORD000004,C0001,2024-11-01,P005,Valves,43,4216.64,2985.69
OL0000007,ORD000004,C0001,2024-11-01,P002,Pumps,31,5193.87,3677.64
OL0000008,ORD000005,C0001,2024-07-07,P009,Automation,14,4963.29,3537.13
OL0000009,ORD000006,C0001,2024-10-09,P010,Welding,7,3376.87,1917.43
OL0000010,ORD000006,C0001,2024-10-09,P001,Bearings,29,3546.40,2013.70
OL0000011,ORD000007,C0001,2024-02-02,P005,Valves,1,2815.46,1614.13
OL0000012,ORD000007,C0001,2024-02-02,P002,Pumps,11,3959.17,2269.83
OL0000013,ORD000007,C0001,2024-02-02,P001,Bearings,16,3101.48,1778.11
OL0000014,ORD000008,C0001,2024-03-28,P009,Automation,21,883.75,498.50
OL0000015,ORD000008,C0001,2024-03-28,P003,Fasteners,37,1104.55,623.05
OL0000016,ORD000008,C0001,2024-03-28,P005,Valves,7,761.08,429.31
OL0000017,ORD000008,C0001,2024-03-28,P009,Automation,19,692.19,390.45
OL0000018,ORD000008,C0001,2024-03-28,P006,Conveyors,37,1052.02,593.42
OL0000019,ORD000009,C0001,2024-11-09,P007,Safety,34,2782.99,1998.10
OL0000020,ORD000009,C0001,2024-11-09,P006,Conveyors,40,4122.88,2960.10
OL0000021,ORD000010,C0001,2024-08-02,P003,Fasteners,24,846.36,536.72
OL0000022,ORD000010,C0001,2024-08-02,P003,Fasteners,2,688.47,436.59
OL0000023,ORD000010,C0001,2024-08-02,P008,Lubricants,30,705.54,447.42
OL0000024,ORD000010,C0001,2024-08-02,P002,Pumps,4,659.78,418.39
OL0000025,ORD000010,C0001,2024-08-02,P001,Bearings,36,762.19,483.34
OL0000026,ORD000011,C0001,2024-10-13,P001,Bearings,15,1792.98,1414.62
OL0000027,ORD000011,C0001,2024-10-13,P004,Motors,35,1654.87,1305.66
OL0000028,ORD000011,C0001,2024-10-13,P007,Safety,49,2051.21,1618.36
OL0000029,ORD000011,C0001,2024-10-13,P003,Fasteners,38,1973.68,1557.19
OL0000030,ORD000011,C0001,2024-10-13,P009,Automation,14,1863.19,1470.02
OL0000031,ORD000012,C0001,2024-07-20,P005,Valves,46,1810.17,1127.25
OL0000032,ORD000012,C0001,2024-07-20,P004,Motors,17,1738.02,1082.32
OL0000033,ORD000012,C0001,2024-07-20,P010,Welding,19,2089.74,1301.35
OL0000034,ORD000012,C0001,2024-07-20,P008,Lubricants,13,1722.91,1072.92
OL0000035,ORD000012,C0001,2024-07-20,P010,Welding,2,2199.22,1369.53
OL0000036,ORD000013,C0001,2024-04-17,P002,Pumps,3,2713.71,1812.51
OL0000037,ORD000013,C0001,2024-04-17,P006,Conveyors,38,3263.11,2179.46
OL0000038,ORD000013,C0001,2024-04-17,P004,Motors,19,2857.30,1908.42
OL0000039,ORD000014,C0001,2024-09-23,P001,Bearings,44,4703.24,3059.15
OL0000040,ORD000015,C0001,2024-10-18,P010,Welding,32,3156.15,2306.45
OL0000041,ORD000015,C0001,2024-10-18,P004,Motors,40,2977.30,2175.76
OL0000042,ORD000016,C0001,2024-05-03,P004,Motors,18,7550.41,4543.94
OL0000043,ORD000017,C0001,2024-02-09,P002,Pumps,23,2974.58,2300.08
OL0000044,ORD000018,C0001,2024-01-03,P001,Bearings,37,3419.64,2002.34
OL0000045,ORD000018,C0001,2024-01-03,P004,Motors,37,3103.16,1817.02
OL0000046,ORD000019,C0001,2024-04-08,P001,Bearings,38,3746.05,2746.61
OL0000047,ORD000019,C0001,2024-04-08,P002,Pumps,47,3136.86,2299.96
OL0000048,ORD000020,C0001,2024-05-10,P004,Motors,47,2342.02,1830.95
OL0000049,ORD000020,C0001,2024-05-10,P007,Safety,16,1671.73,1306.92
OL0000050,ORD000020,C0001,2024-05-10,P002,Pumps,32,1702.72,1331.15
OL0000051,ORD000021,C0001,2024-12-06,P005,Valves,9,2185.52,1538.11
OL0000052,ORD000021,C0001,2024-12-06,P001,Bearings,25,1775.02,1249.21
OL0000053,ORD000021,C0001,2024-12-06,P010,Welding,6,1750.13,1231.70
OL0000054,ORD000021,C0001,2024-12-06,P008,Lubricants,14,1889.17,1329.55
OL0000055,ORD000022,C0001,2024-08-15,P004,Motors,37,1724.20,1212.05
OL0000056,ORD000022,C0001,2024-08-15,P006,Conveyors,16,2009.88,1412.88
OL0000057,ORD000022,C0001,2024-08-15,P002,Pumps,29,1376.59,967.70
OL0000058,ORD000022,C0001,2024-08-15,P008,Lubricants,39,1915.11,1346.26
OL0000059,ORD000022,C0001,2024-08-15,P005,Valves,3,1993.73,1401.53
OL0000060,ORD000023,C0001,2024-08-10,P004,Motors,8,2058.45,1443.58
OL0000061,ORD000023,C0001,2024-08-10,P010,Welding,45,2066.02,1448.89
OL0000062,ORD000023,C0001,2024-08-10,P002,Pumps,30,2693.07,1888.64
OL0000063,ORD000024,C0001,2024-05-12,P009,Automation,19,3094.61,1937.43
