order_id,order_date,customer_id,order_revenue,order_cogs,gross_margin
ORD000001,2024-06-15,C0001,7350.37,5467.02,1883.35
ORD000002,2024-11-13,C0001,8389.29,4984.60,3404.68
ORD000003,2024-10-17,C0001,5011.46,3139.25,1872.20
ORD000004,2024-11-01,C0001,9423.83,6672.76,2751.07
ORD000005,2024-07-07,C0001,4617.32,3290.57,1326.75
ORD000006,2024-10-09,C0001,6027.36,3422.42,2604.95
ORD000007,2024-02-02,C0001,10070.39,5773.45,4296.94
ORD000008,2024-03-28,C0001,4705.39,2654.19,2051.20
ORD000009,2024-11-09,C0001,7934.61,5696.82,2237.79
ORD000010,2024-08-02,C0001,3597.98,2281.64,1316.33
ORD000011,2024-10-13,C0001,8729.21,6887.16,1842.04
ORD000012,2024-07-20,C0001,9205.02,5732.27,3472.75
ORD000013,2024-04-17,C0001,7918.62,5288.92,2629.70
ORD000014,2024-09-23,C0001,5481.70,3565.49,1916.21
ORD000015,2024-10-18,C0001,5638.74,4120.68,1518.06
ORD000016,2024-05-03,C0001,9615.39,5786.68,3828.71
ORD000017,2024-02-09,C0001,3473.34,2685.74,787.60
ORD000018,2024-01-03,C0001,7901.51,4626.65,3274.86
ORD000019,2024-04-08,C0001,8163.93,5985.81,2178.11
ORD000020,2024-05-10,C0001,6373.19,4982.43,1390.76
ORD000021,2024-12-06,C0001,8017.09,5642.22,2374.87
ORD000022,2024-08-15,C0001,9103.15,6399.22,2703.93
ORD000023,2024-08-10,C0001,7716.10,5411.27,2304.84
ORD000024,2024-05-12,C0001,8024.43,5023.83,3000.61
ORD000025,2025-10-09,C0001,15663.45,8959.20,6704.26
ORD000026,2025-08-22,C0001,12376.66,8654.15,3722.51
ORD000027,2025-10-04,C0001,7241.28,5146.04,2095.24
ORD000028,2025-09-04,C0001,19775.29,15667.30,4107.99
ORD000029,2025-09-02,C0001,8124.07,5123.15,3000.92
ORD000030,2025-11-26,C0001,10167.28,7094.21,3073.07
ORD000031,2025-02-18,C0001,11019.91,6983.08,4036.83
ORD000032,2025-04-25,C0001,7967.77,5039.92,2927.84
ORD000033,2025-11-05,C0001,15385.86,11296.38,4089.48
ORD000034,2025-08-25,C0001,16445.34,12104.83,4340.50
ORD000035,2025-11-09,C0001,13066.40,9695.56,3370.83
ORD000036,2025-04-23,C0001,13653.93,9083.27,4570.66
ORD000037,2026-01-28,C0001,16145.97,9705.90,6440.08
ORD000038,2026-06-20,C0001,12742.34,7866.87,4875.47
ORD000039,2026-06-06,C0001,19166.89,11655.36,7511.54
ORD000040,2026-08-24,C0001,14224.75,10739.39,3485.36
ORD000041,2026-04-06,C0001,17070.74,12641.93,4428.81
ORD000042,2026-08-26,C0001,11915.41,6695.25,5220.16
ORD000043,2026-06-15,C0001,15991.10,12526.50,3464.60
ORD000044,2026-10-09,C0001,10312.91,5858.54,4454.37
ORD000045,2026-05-09,C0001,21039.66,15415.61,5624.05
ORD000046,2026-12-13,C0001,21192.86,14772.41,6420.45
ORD000047,2026-04-18,C0001,20270.82,15143.31,5127.51
ORD000048,2026-06-13,C0001,17385.86,10818.09,6567.77
ORD000049,2026-11-08,C0001,12335.68,7524.56,4811.12
ORD000050,2026-04-03,C0001,15331.55,11240.62,4090.94
ORD000051,2026-02-11,C0001,13088.04,7686.69,5401.35
ORD000052,2026-05-12,C0001,10560.80,7819.58,2741.22
ORD000053,2026-09-21,C0001,19255.62,11519.25,7736.36
ORD000054,2024-12-02,C0002,10436.57,6437.00,3999.57
ORD000055,2024-03-27,C0002,9499.13,5714.09,3785.04
ORD000056,2024-08-22,C0002,12790.77,8268.44,4522.33
ORD000057,2024-04-16,C0002,14178.06,8837.07,5340.99
ORD000058,2024-02-13,C0002,5893.85,3666.00,2227.85
ORD000059,2024-07-06,C0002,9210.67,5697.64,3513.04
ORD000060,2024-05-26,C0002,6330.50,3576.88,2753.62
ORD000061,2024-01-22,C0002,12889.70,10145.33,2744.37
ORD000062,2024-11-09,C0002,13508.88,9738.34,3770.54
ORD000063,2024-04-24,C0002,5925.48,4106.02,1819.46
ORD000064,2024-02-06,C0002,12708.85,8247.10,4461.75
ORD000065,2024-05-02,C0002,9121.97,5457.67,3664.30
ORD000066,2025-01-06,C0002,9391.25,5469.87,3921.38
ORD000067,2025-10-18,C0002,9911.77,6726.71,3185.05
ORD000068,2025-03-13,C0002,10086.07,7130.46,2955.61
ORD000069,2025-12-03,C0002,6853.61,5271.46,1582.14
ORD000070,2025-01-17,C0002,10138.90,7556.87,2582.03
ORD000071,2025-07-09,C0002,5254.76,3920.22,1334.54
ORD000072,2025-04-19,C0002,5364.69,3034.45,2330.24
ORD000073,2025-06-06,C0002,10023.49,6291.79,3731.70
ORD000074,2025-03-06,C0002,8022.71,6165.31,1857.40
ORD000075,2025-06-09,C0002,5594.75,3906.12,1688.63
ORD000076,2025-10-24,C0002,6714.53,4837.39,1877.14
ORD000077,2025-12-08,C0002,4720.20,2668.16,2052.04
ORD000078,2025-01-06,C0002,4170.90,2890.83,1280.07
ORD000079,2025-01-20,C0002,8557.42,6363.08,2194.34
ORD000080,2025-10-13,C0002,11056.35,8091.97,2964.38
ORD000081,2025-10-28,C0002,8830.49,5203.60,3626.89
ORD000082,2025-06-18,C0002,6957.93,3977.88,2980.05
ORD000083,2025-09-18,C0002,11572.79,6760.75,4812.04
ORD000084,2025-12-18,C0002,5578.23,3966.49,1611.74
ORD000085,2025-07-06,C0002,5619.64,4161.22,1458.42
ORD000086,2025-11-22,C0002,4511.45,3004.94,1506.51
ORD000087,2025-10-21,C0002,4517.13,3613.45,903.69
ORD000088,2026-02-05,C0002,25228.02,16824.92,8403.10
ORD000089,2026-07-13,C0002,27777.92,21708.33,6069.59
ORD000090,2026-10-13,C0002,46137.19,31786.21,14350.98
ORD000091,2026-09-20,C0002,31408.15,20431.84,10976.31
ORD000092,2026-02-26,C0002,19504.68,14856.91,4647.77
ORD000093,2026-10-24,C0002,45573.85,35081.18,10492.66
ORD000094,2024-06-27,C0003,10405.74,8042.19,2363.55
ORD000095,2024-12-06,C0003,11866.65,7975.29,3891.36
ORD000096,2024-04-05,C0003,8504.32,6334.03,2170.28
ORD000097,2024-11-19,C0003,5303.72,4241.57,1062.15
ORD000098,2024-08-26,C0003,12913.61,9356.66,3556.95
ORD000099,2024-02-14,C0003,12000.81,7681.12,4319.69
ORD000100,2024-01-05,C0003,9268.64,5317.22,3951.41
ORD000101,2024-01-19,C0003,11769.81,7933.79,3836.02
ORD000102,2024-01-23,C0003,13762.31,7754.75,6007.55
ORD000103,2024-09-01,C0003,7237.99,5234.89,2003.10
ORD000104,2024-05-13,C0003,10658.54,5963.44,4695.10
ORD000105,2024-05-20,C0003,12988.22,10373.44,2614.78
ORD000106,2024-02-02,C0003,6242.43,3894.01,2348.42
ORD000107,2024-10-05,C0003,9625.41,5505.92,4119.49
ORD000108,2024-07-22,C0003,8315.00,5899.85,2415.15
ORD000109,2025-05-27,C0003,6762.42,5383.83,1378.59
ORD000110,2025-11-16,C0003,12828.92,8667.29,4161.63
ORD000111,2025-06-16,C0003,9120.53,6652.69,2467.84
ORD000112,2025-10-11,C0003,4880.98,3708.02,1172.96
ORD000113,2025-09-25,C0003,6341.00,4623.41,1717.59
ORD000114,2025-01-02,C0003,12980.34,7640.19,5340.15
ORD000115,2025-01-17,C0003,8254.01,4945.19,3308.82
ORD000116,2025-04-08,C0003,9861.52,7793.24,2068.28
ORD000117,2025-11-04,C0003,5344.13,3648.28,1695.85
ORD000118,2025-01-20,C0003,9125.36,6740.97,2384.39
ORD000119,2025-02-04,C0003,5923.19,3370.70,2552.50
ORD000120,2025-02-06,C0003,8341.63,6246.12,2095.50
ORD000121,2025-02-06,C0003,5029.32,2970.23,2059.10
ORD000122,2025-11-10,C0003,9240.11,5878.89,3361.22
ORD000123,2025-11-20,C0003,13812.77,9058.26,4754.51
ORD000124,2025-05-11,C0003,6046.27,4803.09,1243.18
ORD000125,2025-09-13,C0003,8293.70,5933.47,2360.23
ORD000126,2025-02-22,C0003,12558.99,7871.70,4687.29
ORD000127,2026-05-06,C0003,10566.23,7007.24,3558.99
ORD000128,2026-04-05,C0003,12556.52,6967.16,5589.36
ORD000129,2026-05-09,C0003,25588.30,17074.88,8513.41
ORD000130,2026-03-18,C0003,14305.23,9799.34,4505.89
ORD000131,2026-09-27,C0003,17578.07,10393.49,7184.58
ORD000132,2026-08-27,C0003,24539.78,15844.14,8695.64
ORD000133,2026-01-07,C0003,19453.21,15001.27,4451.94
ORD000134,2026-09-20,C0003,10868.52,8430.59,2437.93
ORD000135,2026-11-12,C0003,22579.46,14649.54,7929.92
ORD000136,2026-02-06,C0003,22541.17,17585.61,4955.56
ORD000137,2026-02-04,C0003,24032.03,17008.25,7023.78
ORD000138,2026-02-13,C0003,24311.36,17771.64,6539.71
ORD000139,2024-08-06,C0004,7849.66,6020.10,1829.56
ORD000140,2024-04-02,C0004,5766.07,3467.72,2298.35
ORD000141,2024-06-19,C0004,7216.85,4091.19,3125.66
ORD000142,2024-04-08,C0004,7859.66,4339.52,3520.14
ORD000143,2024-07-20,C0004,6621.45,5249.07,1372.38
ORD000144,2024-01-08,C0004,8879.00,6818.77,2060.23
ORD000145,2024-06-18,C0004,6118.61,3775.92,2342.69
ORD000146,2024-01-13,C0004,4686.14,3628.24,1057.90
ORD000147,2024-05-07,C0004,3406.96,2106.60,1300.35
ORD000148,2024-12-23,C0004,8512.95,5539.89,2973.06
ORD000149,2024-06-13,C0004,8565.65,5148.38,3417.27
ORD000150,2024-06-23,C0004,3318.08,2108.98,1209.10
ORD000151,2024-06-20,C0004,4458.86,2544.94,1913.92
ORD000152,2024-01-22,C0004,6680.92,4881.19,1799.73
ORD000153,2025-03-15,C0004,23068.69,14315.03,8753.65
ORD000154,2025-05-11,C0004,10065.11,7072.35,2992.76
ORD000155,2025-10-04,C0004,10299.76,5976.66,4323.10
ORD000156,2025-05-23,C0004,19827.45,13837.88,5989.58
ORD000157,2025-06-01,C0004,19796.10,13991.49,5804.61
ORD000158,2025-07-09,C0004,11044.33,7105.74,3938.60
ORD000159,2025-01-11,C0004,15352.05,9920.31,5431.74
ORD000160,2025-04-22,C0004,19747.85,10871.07,8876.78
ORD000161,2026-07-24,C0004,19356.11,11422.07,7934.04
ORD000162,2026-10-16,C0004,22664.03,15968.82,6695.21
ORD000163,2026-06-10,C0004,14284.60,10858.61,3425.99
ORD000164,2026-03-16,C0004,19670.86,12583.40,7087.46
ORD000165,2026-04-07,C0004,21593.50,16278.37,5315.13
ORD000166,2026-05-03,C0004,14399.55,11494.02,2905.52
ORD000167,2026-10-08,C0004,29162.50,19055.87,10106.63
ORD000168,2024-07-25,C0005,13455.61,8056.72,5398.89
ORD000169,2024-01-04,C0005,26203.71,14751.00,11452.71
ORD000170,2024-06-03,C0005,11999.81,7598.41,4401.40
