order_line_id,order_id,customer_id,order_date,product_id,product_category,quantity,line_revenue,line_cogs
OL000001,O000001,C0001,2026-01-13,P0080,Fasteners,36,5809.0,3507.66
OL000002,O000001,C0001,2026-01-13,P0064,Bearings,32,4902.79,3227.14
OL000003,O000001,C0001,2026-01-13,P0057,Fasteners,16,10453.05,8124.79
OL000004,O000001,C0001,2026-01-13,P0007,Lubricants,27,3489.15,2084.47
OL000005,O000001,C0001,2026-01-13,P0027,PPE,30,25650.05,19217.16
OL000006,O000001,C0001,2026-01-13,P0035,Pumps,19,9168.28,5620.66
OL000007,O000002,C0001,2025-10-11,P0059,Bearings,13,10836.64,6546.79
OL000008,O000002,C0001,2025-10-11,P0071,Valves,5,1424.05,992.58
OL000009,O000002,C0001,2025-10-11,P0019,Belts,33,9144.19,5804.64
OL000010,O000002,C0001,2025-10-11,P0050,Pumps,38,20631.53,12522.26
OL000011,O000003,C0001,2025-08-19,P0045,Lubricants,16,8576.45,5359.35
OL000012,O000003,C0001,2025-08-19,P0043,Hydraulics,3,961.35,574.23
OL000013,O000003,C0001,2025-08-19,P0071,Valves,25,9454.17,5822.36
OL000014,O000003,C0001,2025-08-19,P0070,Pumps,10,4710.29,3200.84
OL000015,O000003,C0001,2025-08-19,P0049,Lubricants,38,12623.43,7712.82
OL000016,O000003,C0001,2025-08-19,P0059,Bearings,7,3479.41,2211.2
OL000017,O000003,C0001,2025-08-19,P0042,Bearings,27,21337.91,16324.24
OL000018,O000003,C0001,2025-08-19,P0025,Lubricants,17,5742.21,3732.62
OL000019,O000004,C0001,2024-12-20,P0041,Belts,15,10271.27,7809.36
OL000020,O000004,C0001,2024-12-20,P0063,Lubricants,7,2989.89,1791.88
OL000021,O000004,C0001,2024-12-20,P0070,Pumps,3,977.16,692.13
OL000022,O000004,C0001,2024-12-20,P0005,Valves,28,4864.56,3243.76
OL000023,O000004,C0001,2024-12-20,P0009,Lubricants,12,2333.83,1413.91
OL000024,O000004,C0001,2024-12-20,P0031,Belts,40,25226.58,16734.52
OL000025,O000004,C0001,2024-12-20,P0037,PPE,15,6629.66,4832.59
OL000026,O000005,C0001,2023-03-08,P0037,PPE,17,7451.28,4322.67
OL000027,O000005,C0001,2023-03-08,P0070,Pumps,31,4360.31,3088.01
OL000028,O000005,C0001,2023-03-08,P0021,Bearings,19,16981.98,9924.46
OL000029,O000005,C0001,2023-03-08,P0010,Bearings,26,7366.02,4735.17
OL000030,O000005,C0001,2023-03-08,P0057,Fasteners,4,3296.1,2021.93
OL000031,O000005,C0001,2023-03-08,P0045,Lubricants,19,13478.22,8351.29
OL000032,O000005,C0001,2023-03-08,P0039,Lubricants,15,8866.88,5714.23
OL000033,O000005,C0001,2023-03-08,P0055,Bearings,9,5256.1,3420.31
OL000034,O000006,C0001,2024-11-10,P0005,Valves,12,2648.11,1601.33
