order_id,order_date,customer_id,order_revenue,order_cogs,gross_margin
O000001,2026-01-13,C0001,59472.32,41781.88,17690.44
O000002,2025-10-11,C0001,42036.41,25866.27,16170.14
O000003,2025-08-19,C0001,66885.22,44937.65,21947.57
O000004,2024-12-20,C0001,53292.95,36518.15,16774.79
O000005,2023-03-08,C0001,67056.87,41578.07,25478.8
O000006,2024-11-10,C0001,76171.81,50232.89,25938.92
O000007,2023-09-26,C0001,43934.51,31845.45,12089.06
O000008,2025-09-03,C0001,33562.29,23555.3,10006.99
O000009,2024-04-12,C0001,16078.7,11558.71,4519.99
O000010,2023-12-10,C0001,19827.73,14070.28,5757.46
O000011,2025-10-19,C0001,94706.48,67088.5,27617.98
O000012,2023-08-30,C0001,77835.84,51360.35,26475.5
O000013,2025-03-10,C0001,33903.56,24172.54,9731.03
O000014,2024-08-17,C0001,11651.29,8296.13,3355.16
O000015,2023-03-01,C0001,16327.71,10767.67,5560.04
O000016,2023-08-09,C0001,7603.98,5807.03,1796.94
O000017,2025-08-12,C0001,68832.14,50202.72,18629.42
O000018,2023-03-27,C0001,72842.28,48592.98,24249.3
O000019,2023-12-27,C0001,42810.46,30103.47,12706.99
O000020,2024-11-25,C0001,29535.79,19837.65,9698.14
O000021,2023-08-20,C0001,69535.8,45617.88,23917.92
O000022,2024-09-20,C0001,30885.77,20286.94,10598.83
O000023,2025-11-08,C0001,51904.84,35044.55,16860.29
O000024,2025-06-07,C0001,74011.04,47634.07,26376.97
O000025,2023-10-30,C0001,64893.79,43817.92,21075.87
O000026,2025-10-11,C0001,11662.79,8378.07,3284.72
O000027,2024-06-19,C0001,70212.21,48589.51,21622.7
O000028,2024-12-28,C0001,43756.22,30536.04,13220.19
O000029,2024-10-09,C0001,28148.6,19626.5,8522.1
O000030,2025-04-18,C0001,39812.98,26492.0,13320.99
O000031,2024-01-10,C0001,24428.65,18437.62,5991.03
O000032,2024-06-14,C0001,46675.22,31485.52,15189.7
O000033,2024-02-05,C0001,101589.2,67797.97,33791.23
O000034,2024-02-24,C0001,10662.98,7092.3,3570.68
O000035,2023-10-31,C0001,56899.57,39069.84,17829.72
O000036,2024-10-27,C0001,98572.06,64179.24,34392.82
O000037,2025-12-04,C0001,45710.32,32079.59,13630.74
O000038,2025-02-28,C0001,57704.49,40981.87,16722.62
O000039,2023-12-19,C0001,28267.4,19146.77,9120.63
O000040,2023-09-29,C0001,63943.03,42929.66,21013.38
O000041,2025-01-18,C0001,60327.88,38271.19,22056.69
O000042,2025-08-10,C0001,77538.87,51011.2,26527.67
O000043,2025-10-18,C0001,91777.27,66124.08,25653.2
O000044,2023-03-17,C0001,51155.19,36876.31,14278.88
O000045,2024-11-14,C0001,30076.11,20839.41,9236.7
O000046,2025-10-08,C0001,38332.7,23458.35,14874.35
O000047,2023-08-22,C0001,52457.22,35398.07,17059.15
O000048,2025-05-01,C0001,31401.23,21863.33,9537.9
O000049,2023-04-23,C0001,73598.79,50634.22,22964.56
O000050,2025-07-10,C0001,34559.0,22921.53,11637.47
O000051,2024-10-29,C0001,11280.96,6543.92,4737.04
O000052,2025-10-24,C0001,40206.38,27192.74,13013.64
O000053,2024-05-15,C0002,50833.2,40110.55,10722.66
O000054,2025-01-08,C0002,54582.39,38339.0,16243.39
O000055,2024-05-09,C0002,71001.36,53732.02,17269.35
O000056,2024-05-24,C0002,39510.69,31861.9,7648.79
O000057,2025-10-17,C0002,49219.83,38438.13,10781.7
O000058,2025-04-13,C0002,17330.36,12628.68,4701.67
O000059,2023-04-18,C0002,34513.11,27387.29,7125.83
O000060,2023-09-23,C0002,11439.79,9413.76,2026.03
O000061,2026-01-01,C0002,37136.99,30634.64,6502.35
O000062,2025-11-28,C0002,31936.53,23478.4,8458.13
O000063,2024-04-03,C0002,58504.59,45223.98,13280.61
O000064,2025-07-02,C0002,115915.73,89229.1,26686.63
O000065,2025-07-17,C0002,23621.78,17930.26,5691.51
O000066,2025-08-17,C0002,17380.87,13922.58,3458.29
O000067,2023-10-10,C0002,4378.98,3709.56,669.42
O000068,2024-06-30,C0002,40879.47,32439.69,8439.78
O000069,2024-03-27,C0002,88969.52,69383.28,19586.24
